key,en,es,fr,de,pt
LIGHT_OF_KALABHRA_TITLE,"Light of the Kalabhra","Luz de Kalabhra","Lumière de Kalabhra","Licht von Kalabhra","Luz de Kalabhra"
EDUCATIONAL_ADVENTURE_SUBTITLE,"An Educational Adventure","Una Aventura Educativa","Une Aventure Éducative","Ein Bildungsabenteuer","Uma Aventura Educacional"
START_GAME_BUTTON,"Start Game","Iniciar Juego","Commencer le Jeu","Spiel Starten","Iniciar Jogo"
CONTINUE_BUTTON,"Continue","Continuar","Continuer","Fortsetzen","Continuar"
SETTINGS_BUTTON,"Settings","Configuración","Paramètres","Einstellungen","Configurações"
CREDITS_BUTTON,"Credits","Créditos","Crédits","Credits","Créditos"
EXIT_BUTTON,"Exit","Salir","Quitter","Beenden","Sair"
LOADING_TEXT,"Loading...","Cargando...","Chargement...","Laden...","Carregando..."
LOADING_TIP_TEXT,"Explore the ancient sanctuary and discover its secrets","Explora el santuario antiguo y descubre sus secretos","Explorez le sanctuaire ancien et découvrez ses secrets","Erkunde das alte Heiligtum und entdecke seine Geheimnisse","Explore o santuário antigo e descubra seus segredos"
INTERACTION_PROMPT,"Press E to interact","Presiona E para interactuar","Appuyez sur E pour interagir","Drücke E zum Interagieren","Pressione E para interagir"
MENU_BUTTON,"Menu","Menú","Menu","Menü","Menu"
PROGRESS_LABEL,"Progress","Progreso","Progrès","Fortschritt","Progresso"
CURRENT_OBJECTIVE,"Current Objective","Objetivo Actual","Objectif Actuel","Aktuelles Ziel","Objetivo Atual"
INTERACTION_HINT,"Look around and interact with objects","Mira alrededor e interactúa con objetos","Regardez autour et interagissez avec les objets","Schaue dich um und interagiere mit Objekten","Olhe ao redor e interaja com objetos"
SAVE_GAME,"Save Game","Guardar Juego","Sauvegarder","Spiel Speichern","Salvar Jogo"
LOAD_GAME,"Load Game","Cargar Juego","Charger","Spiel Laden","Carregar Jogo"
QUICK_SAVE,"Quick Save","Guardado Rápido","Sauvegarde Rapide","Schnellspeichern","Salvamento Rápido"
QUICK_LOAD,"Quick Load","Carga Rápida","Chargement Rapide","Schnellladen","Carregamento Rápido"
AUDIO_SETTINGS,"Audio Settings","Configuración de Audio","Paramètres Audio","Audio-Einstellungen","Configurações de Áudio"
VIDEO_SETTINGS,"Video Settings","Configuración de Video","Paramètres Vidéo","Video-Einstellungen","Configurações de Vídeo"
CONTROLS_SETTINGS,"Controls","Controles","Contrôles","Steuerung","Controles"
LANGUAGE_SETTINGS,"Language","Idioma","Langue","Sprache","Idioma"
MASTER_VOLUME,"Master Volume","Volumen Principal","Volume Principal","Hauptlautstärke","Volume Principal"
MUSIC_VOLUME,"Music Volume","Volumen de Música","Volume Musique","Musik-Lautstärke","Volume da Música"
SFX_VOLUME,"Sound Effects","Efectos de Sonido","Effets Sonores","Soundeffekte","Efeitos Sonoros"
VOICE_VOLUME,"Voice Volume","Volumen de Voz","Volume Voix","Stimmen-Lautstärke","Volume da Voz"
